root@autodl-container-1gcj1rxds4-d7bef2bf:~/Code# python main.py --alg qsgd --dataset cifar --iid 0 --alpha 0.1 --epochs 400 --gpu 0
Files already downloaded and verified
Files already downloaded and verified
Load dataset: cifar | Train set: 50000, Test set: 10000, Clients: 100
Model: cnn, Params: 2,777,674
Experiment Setup: Algorithm=qsgd, Dataset=cifar(Non-IID), Model=cnn, Epochs=400, Clients=100(10%), Local Epochs=5
QSGD Config: Quantization Bits=8
Other Configs: EMA=Off, Device=cuda:0, Optimizer=sgd, LR=0.001, Seed=42
[Cold Start] Initial model distribution: 1086790.6KB, Cumulative: 1086790.6KB
Round 72: TestAcc: 35.02%, TestLoss: 1.8369, TrainAcc: 87.16%, TrainLoss: 1.1747, Comm: 1113964.3KB, Cum: 80205428.0KB, Time: 29.9s                                           
Round 73: TestAcc: 26.59%, TestLoss: 1.8454, TrainAcc: 85.99%, TrainLoss: 0.9728, Comm: 1113964.3KB, Cum: 81319392.2KB, Time: 33.6s                                           
Round 74: TestAcc: 28.66%, TestLoss: 1.8812, TrainAcc: 88.67%, TrainLoss: 1.2488, Comm: 1113964.3KB, Cum: 82433356.5KB, Time: 30.3s                                           
Round 75: TestAcc: 25.20%, TestLoss: 1.8861, TrainAcc: 78.48%, TrainLoss: 1.2096, Comm: 1113964.3KB, Cum: 83547320.8KB, Time: 33.0s                                           
Round 76: TestAcc: 30.58%, TestLoss: 1.8771, TrainAcc: 88.62%, TrainLoss: 1.1162, Comm: 1113964.3KB, Cum: 84661285.1KB, Time: 34.3s                                           
Round 77: TestAcc: 28.46%, TestLoss: 1.8656, TrainAcc: 86.09%, TrainLoss: 1.1444, Comm: 1113964.3KB, Cum: 85775249.4KB, Time: 31.9s                                           
Round 78: TestAcc: 27.00%, TestLoss: 1.9800, TrainAcc: 84.53%, TrainLoss: 1.1754, Comm: 1113964.3KB, Cum: 86889213.6KB, Time: 28.1s                                           
Round 79: TestAcc: 24.92%, TestLoss: 1.9805, TrainAcc: 83.95%, TrainLoss: 0.9974, Comm: 1113964.3KB, Cum: 88003177.9KB, Time: 34.6s                                           
Round 80: TestAcc: 22.06%, TestLoss: 2.0151, TrainAcc: 81.81%, TrainLoss: 1.3156, Comm: 1113964.3KB, Cum: 89117142.2KB, Time: 31.4s                                           
Round 81: TestAcc: 25.17%, TestLoss: 1.9289, TrainAcc: 86.83%, TrainLoss: 1.0266, Comm: 1113964.3KB, Cum: 90231106.5KB, Time: 35.7s                                           
